U+2F930	瑱	⿰王&MJ018170;
U+2F931	璅	⿰王巢
U+2F932	瓊	⿰王⿳⿱𠂊囚目夂
U+2F933	&C6-4221;	⿰幵瓦
U+2F934	甤	⿰&MJ024906;生
U+2F935	𤰶	&C5-2E6E;
U+2F936	甾	⿱𡿧田
U+2F937	𤲒	⿰田并
U+2F938	異	⿱田⿳⺾一八
U+2F939	&C4-3E6C;	⿰由幷
U+2F93A	瘐	⿸疒㬰
U+2F93B	𤾡	⿰白為
U+2F93C	𤾸	𤾸
U+2F93D	𥁄	⿱亏皿
U+2F93E	㿼	⿱幵皿
U+2F93F	䀈	⿱&AJ1-13701;皿
U+2F940	直	直
U+2F941	𥃳	⿰目亏
U+2F942	𥃲	⿱目廾
U+2F943	𥄙	⿰目&U+244EF;
U+2F944	𥄳	&JSP-4E5F;
U+2F945	眞	&MJ018170;
U+2F946	真	&MJ018173;
U+2F947	真	⿱直八
U+2F948	&C6-4248;	⿰目䏍
U+2F949	䀹	⿰目夾
U+2F94A	瞋	⿰目&MJ018170;
U+2F94B	䁆	⿰目𡘹
U+2F94C	&U+2F94C;	&UU+4096;
U+2F94D	𥐝	⿰石⿹勹一
U+2F94E	硎	⿰石𠛬
U+2F94F	碌	⿰石&C3-2871;
U+2F950	磌	⿰石真
U+2F951	䃣	⿰石&AJ1-05603;
U+2F952	𥘦	⿰礻攵
U+2F953	祖	⿰&U+244EF;且
U+2F954	𥚚	𥚚
U+2F955	𥛅	⿰礻⿱卯田
U+2F956	福	⿰礻⿳一&CDP-89CC;田
U+2F957	秫	⿰禾术
U+2F958	䄯	⿰禾幵
U+2F959	穀	⿰⿳士冖禾&MJ014908;
U+2F95A	&U+2F95A;	⿰禾&AJ1-13701;
U+2F95B	穏	⿰禾⿳&GT-25225;&AJ1-15391;心
U+2F95C	&C6-5F75;	&C6-4C52;
U+2F95D	𥪧	⿰立&MJ018170;
U+2F95E	𥪧	⿰立真
U+2F95F	&U+2F95F;	⿰立&AJ1-07826;
U+2F960	䈂	⿱竹幷
U+2F961	&C6-6023;	&M-26183;
U+2F962	篆	⿱竹⿱&AJ1-14521;𧰨
U+2F963	築	⿱𥬑木
U+2F964	&C7-413C;	⿱竹&AJ1-05603;
U+2F965	𥲀	⿱竹巢
U+2F966	糒	糒
U+2F967	䊠	⿱&AJ1-13701;米
U+2F968	糨	⿰米强
U+2F969	&U+2F969;	&C3-5855;
U+2F96A	紀	⿰糸已
U+2F96B	&C6-3366;	&C6-2D52;
U+2F96C	絣	⿰糸幷
U+2F96D	䌁	⿰糸&MJ024201;
U+2F96E	緇	⿰糸甾
U+2F96F	縂	⿰糸⿳八口心
U+2F970	繅	⿰糸巢
U+2F971	䌴	⿰糸𡣍
U+2F972	&C6-4C72;	⿰缶幵
U+2F973	𦉇	⿰缶&AJ1-07826;
U+2F974	䍙	⿱罒每
U+2F975	𦋙	⿱网𡘹
U+2F976	罺	⿱罒巢
U+2F977	𦌾	&C5-777A;
U+2F978	羕	⿱𦍌𣱵
U+2F979	翺	⿰⿱自&MJ006350;&AJ1-01227;
U+2F97A	者	&AJ1-02304;
U+2F97B	𦓚	&C5-4867;
U+2F97C	𦔣	⿰&AJ1-06205;⿱&MJ012063;&AJ1-05368;
U+2F97D	聠	⿰耳幷
U+2F97E	𦖨	⿱刺耳
U+2F97F	聰	⿰耳&AJ1-14542;
U+2F980	𣍟	⿱⿱冖一⺼
U+2F981	䏕	䏕
U+2F982	育	⿱⿱&AJ1-04110;厶&MJ013520;
U+2F983	脃	&JSP-5628;
U+2F984	&U+2F984;	&UU+440B;
U+2F985	脾	𦜉
U+2F986	媵	⿰⺼⿱&GT-K01769;女
U+2F987	𦞧	⿰&MJ013520;留
U+2F988	𦞵	⿰&MJ013520;⿱白本
