U+2B811	𫠑	⿰鱼&MJ008019;
U+2B812	𫠒	⿰鱼章
U+2B813	𫠓	⿹&CDP-8CBB;一
U+2B814	𫠔	⿱⿰夕匕鳥
U+2B815	𫠕	⿸广⿱隹？
U+2B816	𫠖	⿰厷鸟
U+2B817	𫠗	⿰卤㑒
U+2B818	𫠘	⿺鼡由
U+2B819	𫠙	⿰齒&MJ014908;
U+2B81A	𫠚	⿰歯句
U+2B81B	𫠛	⿰齒星
U+2B81C	𫠜	⿰齿兒
U+2B81D	𫠝	⿱&MJ012992;亀
